is_scam,cleaned_stipend_monthly,has_website,has_email,skills_count,title_word_count,desc_char_length,numeric_openings,is_bulk_hiring,is_wfh_short_duration,company_name_word_count,link_count_desc,contact_count_desc,all_caps_ratio_desc,keyword_count,stipend_to_skills_ratio,text_density_index,low_skills_high_urgency,is_anonymous_recruiter,readability_score,fraud_phrase_score,urgency_score,contact_risk_score,skill_richness_score
0,16000.5,1,0,2,3,215,0,0,0,5,0,0,0.02857142857142857,0,5333.5,0.013888888888888888,0,0,30.022500000000008,0,0,0,0.5
0,18500.0,0,0,3,2,627,0,0,0,3,0,0,0.023483365949119372,0,4625.0,0.0031847133757961785,0,1,30.44946317103623,0,0,0,1.0
0,27100.5,0,0,13,5,1422,1,0,0,5,0,0,0.04568106312292359,0,1935.75,0.0035137034434293743,0,1,1.2067567567567608,0,0,0,2.1666666666666665
0,7500.0,1,0,3,3,1049,1,0,0,5,0,0,0.020713463751438434,0,1875.0,0.002857142857142857,0,0,26.50314268512946,0,0,0,0.75
0,10000.0,0,0,7,4,380,5,0,0,2,0,0,0.03680981595092025,0,1250.0,0.010498687664041995,0,1,-30.09772727272727,0,0,0,1.4
0,8000.0,1,0,3,2,430,0,0,0,2,0,0,0.034782608695652174,0,2000.0,0.004640371229698376,0,0,35.985000000000014,0,0,0,1.0
1,26500.0,1,0,6,5,1869,2,0,0,2,0,0,0.05332455562870309,0,3785.714285714286,0.00267379679144385,0,0,31.29444776119405,0,0,0,1.0
0,8500.0,1,0,4,2,271,0,0,0,2,0,0,0.017777777777777778,0,1700.0,0.007352941176470588,0,0,6.6133823529412155,0,0,0,1.3333333333333333
0,9500.0,0,0,3,8,827,1,0,0,1,0,0,0.05822416302765648,0,2375.0,0.00966183574879227,0,1,14.91468691588787,0,0,0,0.3333333333333333
0,7000.0,0,0,6,7,662,1,0,0,3,0,0,0.018018018018018018,0,1000.0,0.010558069381598794,0,1,13.935377906976782,6,0,8,0.75
0,7500.0,0,0,4,4,139,8,0,0,1,0,0,0.009259259259259259,0,1500.0,0.02857142857142857,0,1,28.344779411764733,0,0,0,0.8
0,11000.0,0,0,2,3,1145,1,0,0,3,0,0,0.032873806998939555,0,3666.6666666666665,0.002617801047120419,0,1,28.988992248062033,0,1,0,0.5
0,16000.0,0,0,5,8,654,2,0,0,2,0,0,0.04081632653061224,1,2666.6666666666665,0.012213740458015267,0,1,14.964181818181856,10,0,0,0.5555555555555556
0,7750.0,0,0,5,3,556,2,0,0,2,0,0,0.026200873362445413,0,1291.6666666666667,0.005385996409335727,0,1,16.87861201298705,0,0,0,1.25
0,7500.5,1,0,9,4,163,3,0,0,4,0,0,0.13385826771653545,0,750.05,0.024390243902439025,0,0,36.565,0,0,0,1.8
